cell_line,EC50_abs_uM,EC50_hill_uM,n,bottom
RPTEC,55.86656960752158,55.86656960752158,3.511069496273002,0.0
NRK,551.4262199941286,551.4262199941286,1.5351173994141827,8.20083587508445e-18
